tiempo,led_verde,led_rojo,val_x,val_y
3.200000082870247e-05,1,255.00001066666695,512,506
0.5606953000005888,1,255.18689843333354,512,506
0.6743538000000626,1,255.22478460000002,512,506
0.7885715000002165,1,255.26285716666675,512,506
0.902501100000336,1,255.3008337000001,512,506
1.0145777000007001,1,255.3381925666669,512,506
1.126305400000092,1,255.37543513333335,512,506
1.2408077000000048,1,255.41360256666667,512,506
1.354385500000717,1,255.45146183333358,512,506
1.4690126000004966,1,255.48967086666684,512,506
1.5833818999999494,1,255.52779396666665,512,506
1.6977823000006538,1,255.56592743333354,512,506
1.8114220000006753,1,255.60380733333355,512,506
1.9257156000003306,1,255.6419052000001,512,506
2.037853300000279,1,255.67928443333344,512,506
2.1521890000003623,1,255.71739633333345,512,506
2.2654806000000463,1,255.7551602,512,506
2.365617200000088,1,255.7885390666667,512,506
2.4775030000000697,1,255.82583433333335,512,506
2.5918272000008074,1,255.86394240000027,512,506
2.705541500000436,1,255.9018471666668,512,506
2.8178642000002583,1,255.93928806666676,512,506
2.931561500000498,1,255.97718716666682,512,506
